French,English
un jeu vidéo, a video game
un joueur, a player(m)
une joueuse, a player(f)
tu joues aux échecs, you play chess
on joue du violon, we play the violin
un loisir, a leisure activity
il skie, he skis
souvent, often
deux fois par semaine, twice a week
parfois, sometimes
une bande dessinée, a comic book
longtemps, a long time
après, after
pendant, during/while
